sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,species_name,collection_latitude,collection_longitude,collection_date,collection_depth,collection_site,collection_batch
Tri-14,Tri-14_S391_L001_R1_001.fastq.gz,Tri-14_S391_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,25.00873947,-80.44978333,20210702,8,Triangles,contemporary
Tri-10,Tri-10_S398_L001_R1_001.fastq.gz,Tri-10_S398_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,25.00873947,-80.44978333,20210702,9,Triangles,contemporary
Tri-38,Tri-38_S415_L001_R1_001.fastq.gz,Tri-38_S415_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,25.00873947,-80.44978333,20210702,9,Triangles,contemporary
Tri-34,Tri-34_S422_L001_R1_001.fastq.gz,Tri-34_S422_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,25.00873947,-80.44978333,20210702,8,Triangles,contemporary
Tri-44,Tri-44_S432_L001_R1_001.fastq.gz,Tri-44_S432_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,25.00873947,-80.44978333,20210702,8,Triangles,contemporary
Tr-6,Tr-6_S454_L001_R1_001.fastq.gz,Tr-6_S454_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.93535233,-80.54960632,20210702,15,Tavernier Rocks,contemporary
Tr-7,Tr-7_S455_L001_R1_001.fastq.gz,Tr-7_S455_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.93535233,-80.54960632,20210702,16,Tavernier Rocks,contemporary
KL-17,KL-17_S76_L001_R1_001.fastq.gz,KL-17_S76_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,25.11901093,-80.30082703,20010621,10,Little Grecian,historical
KL-41,KL-41_S92_L001_R1_001.fastq.gz,KL-41_S92_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,25.11186028,-80.28582764,20010621,5.4,Outer Reef,historical
KL-45,KL-45_S93_L001_R1_001.fastq.gz,KL-45_S93_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Scleractinia incertae sedis,Solenastrea,bournoni,S.bournoni,25.11186028,-80.28582764,20010621,5.3,Outer Reef,historical
